Language,Query,Weight,Bucket,Comment,Expectation,Parsed,SearchQuality,Rank
he,542,5772.00,מספר תכנית (חיים חדשים),,https://archive.kbb1.com/he/programs/cu/AsNLozeK,cu|AsNLozeK|,Good,2
he,707,5772.00,מספר תכנית (חיים חדשים),,https://archive.kbb1.com/he/programs/cu/fMJtiizU,cu|fMJtiizU|,Good,3
he,103,2886.00,מספר תכנית (חיים חדשים),"All results are 103fm, should be more various",https://archive.kbb1.com/he/programs?program=%7CDx8UewbL,p||program - %7CDx8UewbL,Unknown,-1
he,103,2886.00,מספר תכנית (חיים חדשים),"All results are 103fm, should be more various",https://archive.kbb1.com/he/programs/cu/VrwG8S4o,cu|VrwG8S4o|,Unknown,-1
he,209,5772.00,מספר תכנית (חיים חדשים),,https://archive.kbb1.com/he/programs/cu/g0s6w9ze,cu|g0s6w9ze|,Good,1
he,פתיחה,790.33,מאמר בקבלה,"If date older then week, article goes first.",https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_kB3eD83I,l||source - bs_L2jMWyce_kB3eD83I,Unknown,-1
he,פתיחה,790.33,מאמר בקבלה,"If date older then week, article goes first.",https://archive.kbb1.com/he/sources/kB3eD83I,s|kB3eD83I|,Regular,7
he,פתיחה,790.33,מאמר בקבלה,"If date older then week, article goes first.",https://archive.kbb1.com/he/lessons/cu/lktYc6eC,cu|lktYc6eC|,Unknown,-1
he,הקדמה לספר הזוהר,790.33,מאמר בקבלה,unclear which one is the correct....,https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_ALlyoveA,l||source - bs_L2jMWyce_ALlyoveA,Unknown,-1
he,הקדמה לספר הזוהר,790.33,מאמר בקבלה,unclear which one is the correct....,https://archive.kbb1.com/he/sources/ALlyoveA,s|ALlyoveA|,Good,2
he,הקדמה לספר הזוהר,790.33,מאמר בקבלה,unclear which one is the correct....,https://archive.kbb1.com/he/lessons/cu/ujFce7WX?language=he,cu|ujFce7WX|,Regular,10
he,מתן תורה,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons?source=bs_qMeV5M3Y_2bscFWf4,l||source - bs_qMeV5M3Y_2bscFWf4,Unknown,-1
he,מתן תורה,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/sources/2bscFWf4,s|2bscFWf4|,Good,2
he,מתן תורה,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons/cu/cDfMlyqU,cu|cDfMlyqU|,Unknown,-1
he,מאמר השלום,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons?source=bs_qMeV5M3Y_28Cmp7gl,l||source - bs_qMeV5M3Y_28Cmp7gl,Unknown,-1
he,מאמר השלום,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/sources/28Cmp7gl,s|28Cmp7gl|,Unknown,-1
he,מאמר השלום,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons/cu/eK9Jqxup?language=he,cu|eK9Jqxup|,Unknown,-1
he,מבוא לספר הזוהר,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_tswzgnWk,l||source - bs_L2jMWyce_tswzgnWk,Unknown,-1
he,מבוא לספר הזוהר,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/sources/tswzgnWk,s|tswzgnWk|,Good,2
he,מבוא לספר הזוהר,790.33,מאמר בקבלה,,https://archive.kbb1.com/he/lessons/cu/TP0R1939,cu|TP0R1939|,Unknown,-1
he,מקובלים כותבים,1666.00,תכנית טלוויזיה,unrelated results,https://archive.kbb1.com/he/programs/c/fLWpcUjQ,c|fLWpcUjQ|,Good,1
he,עולמות נפגשים,1666.00,תכנית טלוויזיה,,https://archive.kbb1.com/he/programs/c/FOOoTpLR,c|FOOoTpLR|,Good,1
he,שאל את המקובל,1666.00,תכנית טלוויזיה,,https://archive.kbb1.com/he/programs/c/TXrFZRBE,c|TXrFZRBE|,Good,2
he,הפתרון,1666.00,תכנית טלוויזיה,,https://archive.kbb1.com/he/programs/c/MvD8Dk2S,c|MvD8Dk2S|,Good,1
he,מורים דרך,1666.00,תכנית טלוויזיה,unrelated results,https://archive.kbb1.com/he/programs/c/JMkKQ7ZZ,c|JMkKQ7ZZ|,Good,1
he,חיים חדשים,1586.00,חיים חדשים,groups,https://archive.kbb1.com/he/programs/c/zf4lLwyI,c|zf4lLwyI|,Good,1
he,חיים,1586.00,חיים חדשים,groups,https://archive.kbb1.com/he/programs/c/zf4lLwyI,c|zf4lLwyI|,Good,1
he,תוכנית חיים חדשים,1586.00,חיים חדשים,groups,https://archive.kbb1.com/he/programs/c/zf4lLwyI,c|zf4lLwyI|,Unknown,-1
he,אין עוד מלבדו,756.50,נושא בקבלה,unclear what is good,https://archive.kbb1.com/he/sources/hFeGidcS,s|hFeGidcS|,Good,3
