Language,Query,Weight,Bucket,Comment,#1,#1 Parsed,#1 SQ,#1 Rank,#2,#2 Parsed,#2 SQ,#2 Rank,#3,#3 Parsed,#3 SQ,#3 Rank,#4,#4 Parsed,#4 SQ,#4 Rank,#5,#5 Parsed,#5 SQ,#5 Rank
he,דרורי,56,אורח,no uid,https://archive.kbb1.com/he/events/cu/mgLQmqkl?language=he,cu|mgLQmqkl|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,גיא בכור,56,אורח,,https://www.youtube.com/watch?time_continue=4&v=Np_wmFON-ZE,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,צבי ינאי,56,אורח,,https://www.youtube.com/watch?v=0fIVBPk14KE,bs||,NoExpectation,-1,http://www.tapuz.co.il/Forums2008/outMaavaron.aspx?target=aHR0cDovL2ZpbGVzLmthYi5jby5pbC9maWxlcy9oZWJfb19yYXZfMjAwOC0wNy0yOV90b2huaXRfYmJfbmlmZ2FzaGltLWltLWthYmFsYV90enZpLXlhbmFpXzIuZmx2,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,גיל קופטש,56,אורח,,https://archive.kbb1.com/he/programs/c/4D87X3Oo,c|4D87X3Oo|,Good,1,https://archive.kbb1.com/he/programs/cu/es60Vfio?language=he,cu|es60Vfio|,Regular,4,https://archive.kbb1.com/he/programs/cu/vTCcgK1w?language=he,cu|vTCcgK1w|,Regular,5,https://archive.kbb1.com/he/lessons/cu/xlxAzvjI?language=he,cu|xlxAzvjI|,Good,2,,e||,NoExpectation,-1
he,תיאטרון,26,תאטרון,,Group theater sections,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,תאטרון,26,תאטרון,,Group theater sections,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,"הקלטות רב""ש",24,"הקלטות רב""ש",,Group with Rabash lessons,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,"שיעורי רב""ש",24,"הקלטות רב""ש",,Group with Rabash lessons,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הקלטות רבש,24,"הקלטות רב""ש",,Group with Rabash lessons,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,בדרך לאמת,23,וידאו הפצה,,Movie with rav_,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,דרום,23,וידאו הפצה,,movie missing,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,יורצהייט,22,ייורצאייט,,group yortziat,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,יורצ,22,ייורצאייט,,group yortziat,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,יורצאייט,22,ייורצאייט,,group yortziat,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,האומה,18,מאמר הפצה,,https://archive.kbb1.com/he/sources/Zo6BQz8E,s|Zo6BQz8E|,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,מסמך ארוסה,18,מאמר הפצה,,http://www.kab.co.il/heb/content/view/frame/2373?/heb/content/view/full/2373&main,bs||,NoExpectation,-1,https://archive.kbb1.com/he/lessons/cu/I3d6eaKU?language=en,cu|I3d6eaKU|,Unknown,-1,group lessons under this article,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,ארוסה,18,מאמר הפצה,,http://www.kab.co.il/heb/content/view/frame/2373?/heb/content/view/full/2373&main,bs||,NoExpectation,-1,https://archive.kbb1.com/he/lessons/cu/I3d6eaKU?language=en,cu|I3d6eaKU|,Unknown,-1,group lessons under this article,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,תפקיד בקבוצה,8,קבוצה,"NO UID, other results not related",Rav short clips about it,bs||,NoExpectation,-1,Morning lesson with it,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אמריקה,8,אקטואליה,,Group of articles about the topic,bs||,NoExpectation,-1,https://archive.kbb1.com/he/events?location=United%20States,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,טראמפ,8,אקטואליה,,Group articles regarding Trump,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
